country,year,gdppc,growth5
United States,1955,17370.0,2.6509493651786897
United States,1956,17397.0,1.5301266740927133
United States,1957,17406.0,1.1435755040573703
United States,1958,16946.0,0.03426155359236294
United States,1959,17900.0,1.6273661451061239
United States,1960,18057.0,0.7787937645240994
United States,1961,18175.0,0.8788240994221042
United States,1962,18976.0,1.7422033340975807
United States,1963,19514.0,2.8622026082948615
United States,1964,20360.0,2.6088803135883687
United States,1965,21390.0,3.445841617926737
United States,1966,22529.0,4.3887023905677
United States,1967,22842.0,3.7781420236897123
United States,1968,23691.0,3.9554872686129006
United States,1969,24195.0,3.511730836753979
United States,1970,23958.0,2.2934804112123786
United States,1971,24394.0,1.6033952532838347
United States,1972,25414.0,2.156917429251215
United States,1973,26602.0,2.3448937047536145
United States,1974,26286.0,1.6716274715492752
United States,1975,25956.0,1.6149109686115493
United States,1976,27058.0,2.094544204538118
United States,1977,28001.0,1.9577172011428834
United States,1978,29286.0,1.941062028337126
United States,1979,29949.0,2.6435264705752415
United States,1980,29611.0,2.669881735410762
United States,1981,30056.0,2.123830923199277
United States,1982,29210.0,0.8490016003461998
United States,1983,30158.0,0.588537955490831
United States,1984,32076.0,1.3817015081080797
United States,1985,33023.0,2.2051288428970306
United States,1986,33850.0,2.406022484935
United States,1987,34730.0,3.5224747069357853
United States,1988,35863.0,3.5258525979163347
United States,1989,36756.0,2.7613042263975984
United States,1990,36982.0,2.290375752526641
United States,1991,36463.957,1.4988273048098577
United States,1992,37240.3,1.4055389362398474
United States,1993,37761.535,1.0370377186132762
United States,1994,38807.28,1.0920473837066513
United States,1995,39390.625,1.2699266656181818
United States,1996,40412.75,2.0777107374899906
United States,1997,41722.67,2.2990932800284636
United States,1998,43072.758,2.666937682102355
United States,1999,44575.848,2.8104551811197975
United States,2000,45886.47,3.0999264560893414
United States,2001,45878.008,2.569261761525521
United States,2002,46266.297,2.088901258770237
United States,2003,47157.996,1.8287780034021095
United States,2004,48492.72,1.6986964292880824
United States,2005,49654.76,1.591002882039172
United States,2006,50489.86,1.9342009148547001
United States,2007,50901.746,1.9280199291298983
United States,2008,50275.746,1.2886158665515568
United States,2009,48452.934,-0.016414448787083202
United States,2010,49266.914,-0.15670742273945493
United States,2011,49675.0,-0.32488581224331403
United States,2012,50436.434,-0.18349972867339748
United States,2013,51010.797,0.2907125971310487
United States,2014,51796.62,1.343586123132634
United States,2015,52808.152,1.3979376820256073
United States,2016,53301.016,1.4190463029751132
United States,2017,54152.363,1.4319110159956017
United States,2018,55454.668,1.6846036364602357
United States,2019,56469.26,1.7424368261388379
United States,2020,54379.207,0.5880479292862617
United States,2021,57522.703,1.5361658021664226
United States,2022,58487.465,1.5521394179161208
Canada,1955,13072.0,2.379318341036196
Canada,1956,13791.0,2.809263875035528
Canada,1957,13719.0,1.9013235979174814
Canada,1958,13603.0,1.3417864685261183
Canada,1959,13829.0,2.417715887937999
Canada,1960,13952.0,1.3115327034632918
Canada,1961,14080.0,0.41564431963305726
Canada,1962,14787.0,1.5106300543467732
Canada,1963,15248.0,2.3094233977451806
Canada,1964,15938.0,2.8794441611689425
Canada,1965,16694.0,3.653695018238179
Canada,1966,17448.0,4.382717611129339
Canada,1967,17658.0,3.6125322740611088
Canada,1968,18297.0,3.7130487455134586
Canada,1969,18988.0,3.564062971245918
Canada,1970,19207.0,2.844205017064061
Canada,1971,20024.0,2.792407268152708
Canada,1972,20837.0,3.3662440396347026
Canada,1973,22058.0,3.8095357589022605
Canada,1974,22643.0,3.583587610596628
Canada,1975,22819.0,3.506450171007214
Canada,1976,23754.0,3.4754164874866156
Canada,1977,24265.0,3.092962739239802
Canada,1978,24994.0,2.530700994061519
Canada,1979,25775.0,2.6249459698017397
Canada,1980,25784.0,2.4733034428075618
Canada,1981,26256.0,2.023064001697761
Canada,1982,25151.0,0.7198319103354223
Canada,1983,25625.0,0.49989817023126104
Canada,1984,26836.0,0.8100480744621663
Canada,1985,28025.0,1.6808260512595652
Canada,1986,28472.0,1.633734118468122
Canada,1987,29246.0,3.062872743609679
Canada,1988,30275.0,3.3913141764759347
Canada,1989,30458.0,2.56441796576512
Canada,1990,30082.0,1.4266816759948675
Canada,1991,29151.697,0.4729544961485699
Canada,1992,29141.191,-0.07177704002497842
Canada,1993,29657.574,-0.41124704848086724
Canada,1994,30745.822,0.18828562866690657
Canada,1995,31330.72,0.8167594210997109
Canada,1996,31594.242,1.622253157577247
Canada,1997,32709.691,2.337270348664622
Canada,1998,33785.746,2.6406935668117137
Canada,1999,35345.723,2.827707195353746
Canada,2000,36942.562,3.3502013572365152
Canada,2001,37307.207,3.3801027069462863
Canada,2002,38123.99,3.110853346248721
Canada,2003,38559.977,2.678768373712903
Canada,2004,39491.57,2.242981633413299
Canada,2005,40485.02,1.848226147904386
Canada,2006,41247.15,2.0282039989642398
Canada,2007,41806.863,1.861448307546043
Canada,2008,41896.426,1.6735627865609004
Canada,2009,40312.62,0.4123948145030365
Canada,2010,41209.426,0.3553295529280076
Canada,2011,42197.0,0.45638043743678747
Canada,2012,42476.344,0.31824124652477526
Canada,2013,43008.83,0.5254741677466646
Canada,2014,43800.64,1.67352630935802
Canada,2015,43761.527,1.2090108739745586
Canada,2016,43702.08,0.7033936687966813
Canada,2017,44493.652,0.9323034870371671
Canada,2018,45087.887,0.9486350077401839
Canada,2019,45284.215,0.6684258174857627
Canada,2020,42493.63,-0.5862919621407503
Canada,2021,44379.594,0.30815524460781063
Canada,2022,45529.645,0.4614037028142004
Australia,1955,12795.0,1.6064581692968316
Australia,1956,12924.0,1.5522593664606399
Australia,1957,12895.0,1.7492894507779688
Australia,1958,13238.0,2.0461101765081535
Australia,1959,13753.0,2.0615508324250076
Australia,1960,14013.0,1.835257610455332
Australia,1961,13793.0,1.3100098016144646
Australia,1962,14389.0,2.2166993631057785
Australia,1963,14983.0,2.507414716627121
Australia,1964,15699.0,2.682139541862183
Australia,1965,16182.0,2.920103662523399
Australia,1966,16324.0,3.4269148003176264
Australia,1967,17108.0,3.5222555340852724
Australia,1968,17770.0,3.4707815938456843
Australia,1969,18428.0,3.2574136522906194
Australia,1970,19166.0,3.442702305133749
Australia,1971,19590.0,3.7149995926656354
Australia,1972,19772.0,2.9367072881836487
Australia,1973,20527.0,2.9265962191633577
Australia,1974,20698.0,2.3505158366262435
Australia,1975,20993.0,1.837705195788697
Australia,1976,21613.0,1.9849584972764456
Australia,1977,21592.0,1.776720790956432
Australia,1978,21948.0,1.347699217174081
Australia,1979,22826.0,1.9765431750357498
Australia,1980,22972.0,1.8180699539968925
Australia,1981,23368.0,1.573705945895254
Australia,1982,22972.0,1.2467723491412785
Australia,1983,22697.0,0.6733919153521839
Australia,1984,24009.0,1.0156939660300068
Australia,1985,24927.0,1.6469241158628467
Australia,1986,25116.0,1.4532084424458747
Australia,1987,25971.0,2.4844495711394687
Australia,1988,26702.0,3.303507324218913
Australia,1989,27407.0,2.682748679584046
Australia,1990,27373.0,1.8897453316736756
Australia,1991,26861.275,1.3526783210591198
Australia,1992,27560.178,1.1949101633320414
Australia,1993,28622.477,1.3987694868096145
Australia,1994,29844.172,1.718420297563794
Australia,1995,30690.062,2.3140023065626902
Australia,1996,31740.47,3.394478257553102
Australia,1997,32857.992,3.579020618723794
Australia,1998,34337.14,3.7077902928707385
Australia,1999,35551.02,3.5615415113801063
Australia,2000,36603.047,3.5866754165606363
Australia,2001,37275.992,3.267383006744362
Australia,2002,38567.066,3.2559570270604743
Australia,2003,39523.656,2.853387131844465
Australia,2004,40887.727,2.836711533771119
Australia,2005,41904.445,2.742131335807718
Australia,2006,42650.984,2.730634168123469
Australia,2007,44033.582,2.686531069792508
Australia,2008,44421.64,2.3640583033761153
Australia,2009,44686.543,1.7927290833114062
Australia,2010,45400.223,1.615411123707955
Australia,2011,46132.0,1.581505635094782
Australia,2012,47045.13,1.3318873156740851
Australia,2013,47260.953,1.2468632935410895
Australia,2014,47753.848,1.3365985785376733
Australia,2015,48145.53,1.181146734798677
Australia,2016,48675.137,1.0790100438572203
Australia,2017,49001.902,0.8183656521913996
Australia,2018,49614.387,0.9766668736871598
Australia,2019,49814.67,0.848577557819219
Australia,2020,48268.945,0.051214993689918664
Australia,2021,50704.934,0.8204445011061878
Australia,2022,52049.43,1.2140045387973197
United Kingdom,1955,12541.0,2.5433626921052888
United Kingdom,1956,12639.0,2.167499600488232
United Kingdom,1957,12779.0,2.485076235093797
United Kingdom,1958,12698.0,1.634955967001539
United Kingdom,1959,13134.0,1.5780563541584858
United Kingdom,1960,13780.0,1.9021647364718897
United Kingdom,1961,14118.0,2.237940582072162
United Kingdom,1962,14131.0,2.0317193929981547
United Kingdom,1963,14583.0,2.806911081924479
United Kingdom,1964,15251.0,3.0339291664353674
United Kingdom,1965,15545.0,2.4397009004074377
United Kingdom,1966,15757.0,2.2209873527861967
United Kingdom,1967,16018.0,2.5385279968485053
United Kingdom,1968,16593.0,2.6161242249921113
United Kingdom,1969,16820.0,1.9777754667297254
United Kingdom,1970,17162.0,1.998887336892352
United Kingdom,1971,17440.0,2.050371282294128
United Kingdom,1972,18002.0,2.362879353923586
United Kingdom,1973,19168.0,2.9272518983334717
United Kingdom,1974,18903.0,2.362515191459047
United Kingdom,1975,18884.0,1.9307497863413348
United Kingdom,1976,19311.0,2.059081770700222
United Kingdom,1977,19740.0,1.8603767569731255
United Kingdom,1978,20448.0,1.3012506560889925
United Kingdom,1979,20988.0,2.114652611309875
United Kingdom,1980,20612.0,1.7665914073702327
United Kingdom,1981,20319.0,1.022826011460265
United Kingdom,1982,20650.0,0.9054402416808438
United Kingdom,1983,21366.0,0.8821844183535932
United Kingdom,1984,21869.0,0.8257761382097772
United Kingdom,1985,22579.0,1.8396537240152888
United Kingdom,1986,23498.0,2.9498489686715867
United Kingdom,1987,24536.0,3.508673121413719
United Kingdom,1988,25679.0,3.7459081416060025
United Kingdom,1989,26164.0,3.6513691576374407
United Kingdom,1990,26189.0,3.0108195503977475
United Kingdom,1991,25792.014,1.8804539246378704
United Kingdom,1992,25790.186,1.0020392285069235
United Kingdom,1993,26349.342,0.516725764071535
